Name,Code,Address,City,State,Zip Code,Phone Number,h,i,j,k,l
Manning,6,6 S. Hoyne Avenue,Chicago,IL,60612,(312) 746-6800,,,,,
Harold Washington College,30,30 E. Lake Street ,Chicago,IL,60601,312-553-5600,,,,,
Roseland Community Hospital Chicago,45,45 W 111th St,Chicago,IL,60628,(773) 995-3000,,,,,
Ann & Robert H Lurie Children’s Hospital Chicago,225,"225 E Chicago Ave,",Chicago,IL,60611,(312) 227-4000,,,,,
Kingdom Baptist Church,301,301 N. Central Ave,Chicago,IL,60644,773-378-1255,,,,,
Near North,310,310 W. Division Street,Chicago,IL,60610,(312) 744-0991,,,,,
St Bernard Hospital & Health Care Center Chicago,326,326 W 64th St,Chicago,IL, 60621,(773) 962-3900,,,,,
St Mary’s Hospital Centralia,400,400 N Pleasant Ave,Centralia,IL,62801,(618) 436-8000,,,,,
Harold Washington-HWLC,401,400 S. State Street,Chicago,IL,60605,(312) 747-4300,,,,,
Provident Hospital of Cook County Chicago,500,500 E 51st St,Chicago,IL,60615,(312) 572-2000,,,,,
Garfield Park Behavioral Hospital Chicago,520,520 N Ridgeway Ave,Chicago,IL,60624,(773) 265-3700,,,,,
Calumet,727,727 E 111th St,Chicago,IL,60628,312-747-8210,,,,,
"Daley, Richard M.-W Humboldt",733,733 N. Kedzie Avenue,Chicago,IL,60612,(312) 743-0555,,,,,
Town Hall,850,850 W Addison St,Chicago,IL,60613,312-744-8320,,,,,
Thorek Memorial Hospital Chicago,851, 850 W Irving Park Rd,Chicago,IL,60613,(773) 525-6780,,,,,
Uptown,929,929 W. Buena Avenue,Chicago,IL,60613,(312) 744-8400,,,,,
Norwegian American Hospital Chicago,1044,1044 N Francisco Ave,Chicago,IL,60622,(773) 292-8200,,,,,
Harry S. Truman College,1145,1145 West Wilson Ave,Chicago,IL,60640,773-907-4000,,,,,
Lincoln Park,1150,1150 W. Fullerton Avenue,Chicago,IL,60614,(312) 744-1926,,,,,
Near North,1160,1160 N Larrabee St,Chicago,IL,60610,312-742-5870,,,,,
Presence Mercy Medical Center Aurora,1325,1325 N Highland Ave,Aurora,IL,60506,(630) 859-2222,,,,,
Brainerd,1350,1350 W. 89th Street,Chicago,IL,60620,(312) 747-6291,,,,,
Near West,1412,1412 S Blue Island Ave,Chicago,IL,60608,312-746-8396,,,,,
Lakeview Pantry-Oakdale,1414,1414 W. oakdale Ave,Chicago,IL,60608,773-525-1777,,,,,
"Medical Center, St Elizabeth Chicago",1431,1431 N Claremont Ave,Chicago,IL,60622,(773) 278-2000,,,,,
Englewood,1438,1438 W 63rd St,Chicago,IL,60636,312-747-8223,,,,,
Mount Sinai Hospital Chicago,1500,1500 South Fairfield Avenue,Chicago,IL,60608,(773) 542-2000,,,,,
Humboldt Park,1605,1605 N. Troy Street,Chicago,IL,60647,(312) 744-2244,,,,,
"Women, Infants and Children",1643,1643 W Cermak Rd,Chicago,IL,60608,773-523-0409,,,,,
